accession	population	method	database	reads_total	bp_total	reads_retained_before_repair	reads_retained	reads_retained_pc	reads_retained_ebv	reads_retained_excluding_ebv	reads_retained_excluding_ebv_pc	reads_retained_excluding_ebv_group_mean_pc	reads_retained_including_ebv_group_mean_pc
ERR3239334 (NA12878)	CEU	Hostile 0.0.2 (bowtie2)	human-t2t-hla	758135204	113720280600		4859956	0.641041%	1782002	3077954	0.4060%	0.3932%	0.5937%
ERR3239480	CEU	Hostile 0.0.2 (bowtie2)	human-t2t-hla	753247448	112987117200		2879542	0.382284%	410042	2469500	0.3278%	0.3932%	0.5937%
ERR3239491	YRI	Hostile 0.0.2 (bowtie2)	human-t2t-hla	720104180	108015627000		5088234	0.706597%	1709520	3378714	0.4692%	0.3932%	0.5937%
ERR3239492	CHB	Hostile 0.0.2 (bowtie2)	human-t2t-hla	759850438	113977565700		3154802	0.415187%	227570	2927232	0.3852%	0.3932%	0.5937%
ERR3239557	JPT	Hostile 0.0.2 (bowtie2)	human-t2t-hla	722484412	108372661800		4269794	0.590988%	1494076	2775718	0.3842%	0.3932%	0.5937%
ERR3239683	LWK	Hostile 0.0.2 (bowtie2)	human-t2t-hla	834666436	125199965400		5843118	0.700054%	1875706	3967412	0.4753%	0.3932%	0.5937%
ERR3239832	TSI	Hostile 0.0.2 (bowtie2)	human-t2t-hla	728872364	109330854600		3849414	0.528133%	972352	2877062	0.3947%	0.3932%	0.5937%
ERR3239893	ASW	Hostile 0.0.2 (bowtie2)	human-t2t-hla	755077300	113261595000		3134244	0.415089%	403470	2730774	0.3617%	0.3932%	0.5937%
ERR3239894	MXL	Hostile 0.0.2 (bowtie2)	human-t2t-hla	755852262	113377839300		5584272	0.738805%	3052906	2531366	0.3349%	0.3932%	0.5937%
ERR3239997	GIH	Hostile 0.0.2 (bowtie2)	human-t2t-hla	742828056	111424208400		4282628	0.576530%	1274602	3008026	0.4049%	0.3932%	0.5937%
ERR3240184	CHS	Hostile 0.0.2 (bowtie2)	human-t2t-hla	812240132	121836019800		3408554	0.419649%	482440	2926114	0.3603%	0.3932%	0.5937%
ERR3240193	GBR	Hostile 0.0.2 (bowtie2)	human-t2t-hla	801272652	120190897800		3367634	0.420286%	389956	2977678	0.3716%	0.3932%	0.5937%
ERR3240223	FIN	Hostile 0.0.2 (bowtie2)	human-t2t-hla	732782248	109917337200		3351768	0.457403%	809556	2542212	0.3469%	0.3932%	0.5937%
ERR3241843	PUR	Hostile 0.0.2 (bowtie2)	human-t2t-hla	776192472	116428870800		4762722	0.613601%	1542418	3220304	0.4149%	0.3932%	0.5937%
ERR3241862	CLM	Hostile 0.0.2 (bowtie2)	human-t2t-hla	834477356	125171603400		3132450	0.375379%	281242	2851208	0.3417%	0.3932%	0.5937%
ERR3242189	ACB	Hostile 0.0.2 (bowtie2)	human-t2t-hla	748369992	112255498800		3891464	0.519992%	1164164	2727300	0.3644%	0.3932%	0.5937%
ERR3242199	PEL	Hostile 0.0.2 (bowtie2)	human-t2t-hla	725236972	108785545800		4330574	0.597125%	1292718	3037856	0.4189%	0.3932%	0.5937%
ERR3242202	IBS	Hostile 0.0.2 (bowtie2)	human-t2t-hla	745978896	111896834400		13205964	1.770287%	9967824	3238140	0.4341%	0.3932%	0.5937%
ERR3242208	KHV	Hostile 0.0.2 (bowtie2)	human-t2t-hla	742124154	111318623100		3289426	0.443245%	548396	2741030	0.3693%	0.3932%	0.5937%
ERR3242214	CDX	Hostile 0.0.2 (bowtie2)	human-t2t-hla	1085694008	162854101200		6831672	0.629245%	3308818	3522854	0.3245%	0.3932%	0.5937%
ERR3242540	MSL	Hostile 0.0.2 (bowtie2)	human-t2t-hla	768224688	115233703200		4639950	0.603983%	1409072	3230878	0.4206%	0.3932%	0.5937%
ERR3242585	ESN	Hostile 0.0.2 (bowtie2)	human-t2t-hla	734527092	110179063800		5120302	0.697088%	1652712	3467590	0.4721%	0.3932%	0.5937%
ERR3242627	PJL	Hostile 0.0.2 (bowtie2)	human-t2t-hla	717934962	107690244300		5081480	0.707791%	1427574	3653906	0.5089%	0.3932%	0.5937%
ERR3242642	BEB	Hostile 0.0.2 (bowtie2)	human-t2t-hla	872064342	130809651300		5504628	0.631218%	2198480	3306148	0.3791%	0.3932%	0.5937%
ERR3242892	STU	Hostile 0.0.2 (bowtie2)	human-t2t-hla	745108738	111766310700		3858966	0.517906%	717108	3141858	0.4217%	0.3932%	0.5937%
ERR3242910	ITU	Hostile 0.0.2 (bowtie2)	human-t2t-hla	685294482	102794172300		3328900	0.485762%	805564	2523336	0.3682%	0.3932%	0.5937%
ERR3242940	GWD	Hostile 0.0.2 (bowtie2)	human-t2t-hla	713822738	107073410700		3283668	0.460012%	464162	2819506	0.3950%	0.3932%	0.5937%
ERR3239334 (NA12878)	CEU	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	758135204	113720280600		4862638	0.641395%	1782028	3080610	0.4063%	0.3936%	0.5942%
ERR3239480	CEU	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	753247448	112987117200		2882758	0.382711%	410046	2472712	0.3283%	0.3936%	0.5942%
ERR3239491	YRI	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	720104180	108015627000		5091040	0.706987%	1709546	3381494	0.4696%	0.3936%	0.5942%
ERR3239492	CHB	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	759850438	113977565700		3157462	0.415537%	227568	2929894	0.3856%	0.3936%	0.5942%
ERR3239557	JPT	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	722484412	108372661800		4272698	0.591390%	1494096	2778602	0.3846%	0.3936%	0.5942%
ERR3239683	LWK	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	834666436	125199965400		5846712	0.700485%	1875728	3970984	0.4758%	0.3936%	0.5942%
ERR3239832	TSI	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	728872364	109330854600		3852538	0.528561%	972368	2880170	0.3952%	0.3936%	0.5942%
ERR3239893	ASW	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	755077300	113261595000		3137928	0.415577%	403476	2734452	0.3621%	0.3936%	0.5942%
ERR3239894	MXL	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	755852262	113377839300		5587152	0.739186%	3052930	2534222	0.3353%	0.3936%	0.5942%
ERR3239997	GIH	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	742828056	111424208400		4285842	0.576963%	1274608	3011234	0.4054%	0.3936%	0.5942%
ERR3240184	CHS	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	812240132	121836019800		3411946	0.420066%	482442	2929504	0.3607%	0.3936%	0.5942%
ERR3240193	GBR	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	801272652	120190897800		3370706	0.420669%	389968	2980738	0.3720%	0.3936%	0.5942%
ERR3240223	FIN	Hostile 0.0.2 (bowtie2)	human-t2t-hla-argos985-mycob140	732782248	109917337200		3354982	0.457842%	809574	2545408	0.3474%	0.3936%	0.5942%
