dataset	type	accession
Human Illumina 10x	reads	ERR194147
Human ONT 10x	reads	http://s3.amazonaws.com/nanopore-human-wgs/rel7/rel_7.fastq.gz
Human Illumina 30x	reads	ERR3239334
Human Illumina 30x	reads	ERR3239480
Human Illumina 30x	reads	ERR3239491
Human Illumina 30x	reads	ERR3239492
Human Illumina 30x	reads	ERR3239557
Human Illumina 30x	reads	ERR3239683
Human Illumina 30x	reads	ERR3239832
Human Illumina 30x	reads	ERR3239893
Human Illumina 30x	reads	ERR3239894
Human Illumina 30x	reads	ERR3239997
Human Illumina 30x	reads	ERR3240184
Human Illumina 30x	reads	ERR3240193
Human Illumina 30x	reads	ERR3240223
Human Illumina 30x	reads	ERR3241843
Human Illumina 30x	reads	ERR3241862
Human Illumina 30x	reads	ERR3242189
Human Illumina 30x	reads	ERR3242199
Human Illumina 30x	reads	ERR3242202
Human Illumina 30x	reads	ERR3242208
Human Illumina 30x	reads	ERR3242214
Human Illumina 30x	reads	ERR3242540
Human Illumina 30x	reads	ERR3242585
Human Illumina 30x	reads	ERR3242627
Human Illumina 30x	reads	ERR3242642
Human Illumina 30x	reads	ERR3242892
Human Illumina 30x	reads	ERR3242910
Human Illumina 30x	reads	ERR3242940
Bacteria	assembly	GCA_000626615.3
Bacteria	assembly	GCA_001559115.2
Bacteria	assembly	GCA_002209185.2
Bacteria	assembly	GCA_002953975.1
Bacteria	assembly	GCA_003812545.1
Bacteria	assembly	GCA_008693625.1
Bacteria	assembly	GCA_013267255.1
Bacteria	assembly	GCA_016026995.1
Bacteria	assembly	GCA_016127335.1
Bacteria	assembly	GCA_016725205.1
Bacteria	assembly	GCA_016888925.1
Bacteria	assembly	GCA_016903335.1
Bacteria	assembly	GCA_016906245.1
Bacteria	assembly	GCA_019048605.1
Bacteria	assembly	GCA_020735345.1
Bacteria	assembly	GCA_000783435.2
Bacteria	assembly	GCA_001559135.2
Bacteria	assembly	GCA_002209205.2
Bacteria	assembly	GCA_002954055.1
Bacteria	assembly	GCA_003812565.1
Bacteria	assembly	GCA_008693645.1
Bacteria	assembly	GCA_013267275.1
Bacteria	assembly	GCA_016027015.1
Bacteria	assembly	GCA_016127355.1
Bacteria	assembly	GCA_016725225.1
Bacteria	assembly	GCA_016888945.1
Bacteria	assembly	GCA_016903355.1
Bacteria	assembly	GCA_016906265.1
Bacteria	assembly	GCA_019048625.1
Bacteria	assembly	GCA_020735365.1
Bacteria	assembly	GCA_000783575.2
Bacteria	assembly	GCA_001559175.2
Bacteria	assembly	GCA_002209225.2
Bacteria	assembly	GCA_002983625.1
Bacteria	assembly	GCA_003812585.1
Bacteria	assembly	GCA_008693665.1
Bacteria	assembly	GCA_013267295.1
Bacteria	assembly	GCA_016027035.1
Bacteria	assembly	GCA_016127375.1
Bacteria	assembly	GCA_016725245.1
Bacteria	assembly	GCA_016888965.1
Bacteria	assembly	GCA_016903375.1
Bacteria	assembly	GCA_016939455.1
Bacteria	assembly	GCA_019048645.1
Bacteria	assembly	GCA_020735385.1
