sample	platform	tool	name	reads_in	reads_removed	reads_removed_percent	reads_retained_percent
GCA_000626615.3	illumina	hostile	Staphylococcus aureus strain FDAARGOS_5 chromosome, complete genome	187346	0	0.0	100.0
GCA_000783435.2	illumina	hostile	Achromobacter insolitus strain FDAARGOS_88 chromosome, complete genome	459536	0	0.0	100.0
GCA_000783575.2	illumina	hostile	Proteus mirabilis strain FDAARGOS_81 chromosome, complete genome	271822	0	0.0	100.0
GCA_000783595.2	illumina	hostile	Proteus mirabilis strain FDAARGOS_80 chromosome, complete genome	269616	0	0.0	100.0
GCA_000783675.2	illumina	hostile	Enterobacter cloacae complex sp. strain FDAARGOS_77 chromosome, complete genome	325134	0	0.0	100.0
GCA_000783735.2	illumina	hostile	Shigella flexneri strain FDAARGOS_74 chromosome, complete genome	320390	0	0.0	100.0
GCA_000783755.2	illumina	hostile	Citrobacter freundii strain FDAARGOS_73 chromosome, complete genome	363416	0	0.0	100.0
GCA_000783775.2	illumina	hostile	Aeromonas caviae strain FDAARGOS_72 chromosome, complete genome	301220	0	0.0	100.0
GCA_000783815.2	illumina	hostile	Salmonella enterica strain FDAARGOS_70 chromosome, complete genome	319106	0	0.0	100.0
GCA_000783875.2	illumina	hostile	Proteus mirabilis strain FDAARGOS_67 chromosome, complete genome	263698	0	0.0	100.0
GCA_000783915.2	illumina	hostile	Serratia marcescens strain FDAARGOS_65 chromosome, complete genome	349894	0	0.0	100.0
GCA_000783935.2	illumina	hostile	Raoultella planticola strain FDAARGOS_64 chromosome, complete genome	388262	0	0.0	100.0
GCA_000783955.2	illumina	hostile	Morganella morganii strain FDAARGOS_63 chromosome, complete genome	266668	0	0.0	100.0
GCA_000783995.2	illumina	hostile	Citrobacter freundii strain FDAARGOS_61 chromosome, complete genome	350566	0	0.0	100.0
GCA_000784015.2	illumina	hostile	Proteus mirabilis strain FDAARGOS_60 chromosome, complete genome	273704	0	0.0	100.0
GCA_001018645.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_2 chromosome, complete genome	187334	0	0.0	100.0
GCA_001018655.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_6 chromosome, complete genome	183952	0	0.0	100.0
GCA_001018685.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_4 chromosome, complete genome	187452	0	0.0	100.0
GCA_001018725.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_10 chromosome, complete genome	191592	0	0.0	100.0
GCA_001018735.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_12 chromosome, complete genome	181716	0	0.0	100.0
GCA_001018775.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_14 chromosome, complete genome	184314	0	0.0	100.0
GCA_001018805.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_15 chromosome, complete genome	186660	0	0.0	100.0
GCA_001018835.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_19 chromosome, complete genome	191936	0	0.0	100.0
GCA_001018845.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_21 chromosome, complete genome	192082	0	0.0	100.0
GCA_001018915.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_27 chromosome, complete genome	182690	0	0.0	100.0
GCA_001018975.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_30 chromosome, complete genome	190776	0	0.0	100.0
GCA_001019125.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_43 chromosome, complete genome	188042	0	0.0	100.0
GCA_001019205.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_48 chromosome, complete genome	189826	0	0.0	100.0
GCA_001019255.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_1 chromosome, complete genome	190366	0	0.0	100.0
GCA_001019275.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_7 chromosome, complete genome	181938	0	0.0	100.0
GCA_001019305.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_9 chromosome, complete genome	187646	0	0.0	100.0
GCA_001019395.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_20 chromosome, complete genome	187888	0	0.0	100.0
GCA_001019415.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_24 chromosome, complete genome	179832	0	0.0	100.0
GCA_001019435.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_25 chromosome, complete genome	191900	0	0.0	100.0
GCA_001019485.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_35 chromosome, complete genome	197060	0	0.0	100.0
GCA_001019495.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_40 chromosome, complete genome	192622	0	0.0	100.0
GCA_001019535.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_42 chromosome, complete genome	187956	0	0.0	100.0
GCA_001019575.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_47 chromosome, complete genome	193428	0	0.0	100.0
GCA_001188025.2	illumina	hostile	Listeria monocytogenes strain FDAARGOS_58 chromosome, complete genome	193778	0	0.0	100.0
GCA_001188045.2	illumina	hostile	Listeria monocytogenes strain FDAARGOS_57 chromosome unnamed, complete genome	195692	0	0.0	100.0
GCA_001188125.2	illumina	hostile	Salmonella enterica subsp. enterica serovar Heidelberg strain FDAARGOS_54 chromosome, complete genome	316752	0	0.0	100.0
GCA_001188185.2	illumina	hostile	Vibrio parahaemolyticus strain FDAARGOS_51 chromosome 1, complete sequence	343280	2	0.0005826147751106967	99.99941738522489
GCA_001558255.2	illumina	hostile	Grimontia hollisae strain FDAARGOS_111 chromosome 1, complete sequence	266562	10	0.0037514724529377776	99.99624852754707
GCA_001558275.2	illumina	hostile	Staphylococcus saprophyticus strain FDAARGOS_168 chromosome, complete genome	176676	0	0.0	100.0
GCA_001558295.2	illumina	hostile	Shigella sonnei strain FDAARGOS_90 chromosome, complete genome	332556	0	0.0	100.0
GCA_001558355.2	illumina	hostile	Salmonella enterica strain FDAARGOS_94 chromosome, complete genome	330094	0	0.0	100.0
GCA_001558375.2	illumina	hostile	Staphylococcus saprophyticus strain FDAARGOS_137 chromosome, complete genome	171946	0	0.0	100.0
GCA_001558395.2	illumina	hostile	Bordetella pertussis strain FDAARGOS_179 chromosome, complete genome	273390	0	0.0	100.0
GCA_001558415.2	illumina	hostile	Vibrio fluvialis strain ATCC 33809 chromosome 1, complete sequence	321850	0	0.0	100.0
GCA_001558435.2	illumina	hostile	Vibrio harveyi strain FDAARGOS_107 chromosome 1, complete sequence	402594	0	0.0	100.0
GCA_001558475.2	illumina	hostile	Vibrio mimicus strain FDAARGOS_112 chromosome 1, complete sequence	295914	0	0.0	100.0
GCA_001558495.2	illumina	hostile	Vibrio parahaemolyticus strain ATCC 17802 chromosome 1, complete sequence	343498	6	0.0017467350610483904	99.99825326493895
GCA_001558515.2	illumina	hostile	Vibrio vulnificus strain FDAARGOS_119 chromosome 1, complete sequence	331920	0	0.0	100.0
GCA_001558735.2	illumina	hostile	Pantoea vagans strain FDAARGOS_160 chromosome, complete genome	320590	0	0.0	100.0
GCA_001558755.2	illumina	hostile	Achromobacter xylosoxidans strain FDAARGOS_147 chromosome, complete genome	459130	0	0.0	100.0
GCA_001558775.1	illumina	hostile	Staphylococcus lugdunensis strain FDAARGOS_141 chromosome, complete genome	171456	0	0.0	100.0
GCA_001558795.2	illumina	hostile	Staphylococcus aureus strain FDAARGOS_159 chromosome, complete genome	189278	0	0.0	100.0
GCA_001558815.2	illumina	hostile	Staphylococcus lugdunensis strain FDAARGOS_143 chromosome, complete genome	174258	0	0.0	100.0
GCA_001558855.2	illumina	hostile	Providencia stuartii strain FDAARGOS_145 chromosome, complete genome	287008	0	0.0	100.0
GCA_001558875.2	illumina	hostile	Enterococcus gallinarum strain FDAARGOS_163 chromosome, complete genome	254766	0	0.0	100.0
GCA_001558895.2	illumina	hostile	Morganella morganii strain FDAARGOS_172 chromosome, complete genome	260538	0	0.0	100.0
GCA_001558915.2	illumina	hostile	Achromobacter xylosoxidans strain FDAARGOS_162 chromosome, complete genome	437716	0	0.0	100.0
GCA_001558935.2	illumina	hostile	Citrobacter amalonaticus strain FDAARGOS_165 chromosome, complete genome	338936	0	0.0	100.0
GCA_001559035.2	illumina	hostile	Bartonella bacilliformis strain ATCC 35685D-5 chromosome, complete genome	96228	0	0.0	100.0
GCA_001559055.2	illumina	hostile	Bordetella bronchiseptica strain FDAARGOS_176 chromosome, complete genome	355948	0	0.0	100.0
GCA_001559075.2	illumina	hostile	Citrobacter amalonaticus strain FDAARGOS_122 chromosome, complete genome	326982	0	0.0	100.0
